target,model,decile,n,mean_pred,realized
is_hr,recency,3,18416,0.019095148859142264,0.018407906168549086
is_hr,recency,4,19389,0.026073700080579507,0.028727629068028265
is_hr,recency,5,17238,0.03180189128357055,0.03208028773639633
is_hr,recency,6,18141,0.03854719092577382,0.03946860702276611
is_hr,recency,7,19193,0.04558578284002964,0.04600635648413484
is_hr,recency,8,20741,0.05566327216790892,0.05414396605756714
is_hr,recency,9,14897,0.07318703877629043,0.07551856078405048
is_hr,recent365,0,34710,0.005727125025469265,0.005214635551714203
is_hr,recent365,1,2250,0.006962205111447504,0.004888888888888889
is_hr,recent365,2,20703,0.012711794364809464,0.009418924793508187
is_hr,recent365,3,16684,0.022344329243016544,0.017262047470630544
is_hr,recent365,4,17458,0.028416699915469357,0.0269217550693092
is_hr,recent365,5,19087,0.0362280378493593,0.034316550531775555
is_hr,recent365,6,17927,0.04163377832406023,0.03954928320410554
is_hr,recent365,7,19293,0.048615392719794245,0.047011869590006736
is_hr,recent365,8,18287,0.05755940323964289,0.05512112429594794
is_hr,recent365,9,16846,0.07319014314145274,0.07277692033717204
is_hit,prod,0,20175,0.0630236361610595,0.05705080545229244
is_hit,prod,1,16827,0.09247222251582198,0.08195162536399833
is_hit,prod,2,18052,0.14994835366332795,0.1449700864170175
is_hit,prod,3,18262,0.21520297327204874,0.20413974373015004
is_hit,prod,4,18551,0.23643672152630976,0.23033798717050294
is_hit,prod,5,18301,0.25386517417947957,0.24916671220151904
is_hit,prod,6,18833,0.2811589782863837,0.2723942016672862
is_hit,prod,7,22463,0.31340288193068677,0.2987579575301607
is_hit,prod,8,13644,0.33163528135761106,0.31926121372031663
is_hit,prod,9,18137,0.35384937417201784,0.3436621271434085
is_hit,exp,0,18403,0.06212642801833814,0.05488235613758626
is_hit,exp,1,18851,0.09163905903605095,0.08195851678956023
is_hit,exp,2,17815,0.15019549311949393,0.1446533819814763
is_hit,exp,3,18253,0.2135920325103925,0.20604832082397415
is_hit,exp,4,18544,0.23760592413413764,0.22880716134598791
is_hit,exp,5,18443,0.25413851989023506,0.249417123027707
is_hit,exp,6,18462,0.2794064189178571,0.2722348607951468
is_hit,exp,7,18321,0.30885521654762377,0.29234212106326074
is_hit,exp,8,19475,0.3303774363751666,0.32046213093709885
is_hit,exp,9,16678,0.35047947074757135,0.3465043770236239
